0	0	0	0	0	0	0	0	0
155	150	150	177	177	177	55	55	55
155	150	150	177	177	177	55	55	55
155	150	150	177	177	177	55	55	55
155	150	150	177	177	177	55	55	55
194	166	150	177	177	177	55	55	55
233	200	166	177	177	177	55	55	55
272	233	194	190	177	177	57	55	55
311	266	222	217	186	177	65	55	55
350	300	250	245	210	177	73	63	55
388	333	277	272	233	194	81	69	58
427	366	305	299	257	214	89	76	64
466	400	333	327	280	234	97	84	70
505	433	361	354	304	253	106	90	75
545	467	389	381	326	272	114	97	81
584	500	417	410	352	293	122	105	87
622	533	444	410	352	293	122	105	87
662	567	473	410	352	293	122	105	87
701	601	501	410	352	293	122	105	87
701	601	501	410	352	293	122	105	87							
701	601	501	410	352	293	122	105	87
