0	0	0	0	0	0	0	0	0
50	49	49	177	177	177	55	55	55
50	49	49	177	177	177	55	55	55
50	49	49	177	177	177	55	55	55
50	49	49	177	177	177	55	55	55
63	54	49	177	177	177	55	55	55
76	65	54	177	177	177	55	55	55
88	76	63	190	177	177	57	55	55
101	86	72	217	186	177	65	55	55
114	97	81	245	210	177	73	63	55
126	108	90	272	233	194	81	69	58
139	119	99	299	257	214	89	76	64
151	130	108	327	280	234	97	84	70
164	141	117	354	304	253	106	90	75
177	151	126	381	326	272	114	97	81
189	162	135	410	352	293	122	105	87
202	173	144	410	352	293	122	105	87
214	184	153	410	352	293	122	105	87
227	195	162	410	352	293	122	105	87
227	195	162	410	352	293	122	105	87
227	195	162	410	352	293	122	105	87
