0	0	0	0	0	0	0	0	0
124	112	112	177	177	177	55	55	55
124	112	112	177	177	177	55	55	55
124	112	112	177	177	177	55	55	55
124	112	112	177	177	177	55	55	55
155	133	112	177	177	177	55	55	55
186	159	133	177	177	177	55	55	55
216	186	155	190	177	177	57	55	55
247	212	177	217	186	177	65	55	55
278	239	199	245	210	177	73	63	55
309	265	221	272	233	194	81	69	58
340	292	243	299	257	214	89	76	64
371	318	265	327	280	234	97	84	70
402	345	287	354	304	253	106	90	75
433	371	309	381	326	272	114	97	81
464	398	332	410	352	293	122	105	87
495	425	354	410	352	293	122	105	87
526	451	376	410	352	293	122	105	87
557	478	398	410	352	293	122	105	87
557	478	398	410	352	293	122	105	87
557	478	398	410	352	293	122	105	87
