0	0	0	0	0	0	0	0	0
162	144	144	177	177	177	55	55	55
162	144	144	177	177	177	55	55	55
162	144	144	177	177	177	55	55	55
162	144	144	177	177	177	55	55	55
203	174	145	177	177	177	55	55	55
243	209	174	177	177	177	55	55	55
284	244	203	190	177	177	57	55	55
325	279	232	217	186	177	65	55	55
366	313	261	245	210	177	73	63	55
407	349	290	272	233	194	81	69	58
447	384	320	299	257	214	89	76	64
489	419	349	327	280	234	97	84	70
529	454	378	354	304	253	106	90	75
570	488	407	381	326	272	114	97	81
611	524	437	410	352	293	122	105	87
652	559	466	410	352	293	122	105	87
693	594	495	410	352	293	122	105	87
734	629	524	410	352	293	122	105	87
734	629	524	410	352	293	122	105	87
734	629	524	410	352	293	122	105	87
